obsid mjd_start mjd_end mjd ra_xrt dec_xrt exptime cr cr_unc fl fl_unc
14217001 59299.044340277775 59299.12174768518 59299.083043981474 0.0 0.0 2669.59508413118 0.0018729432151420261 0.0 5.0101231005049204e-14 0.0
14217003 59301.244097222225 59301.38951388889 59301.31680555556 0.0 0.0 1475.902840430315 0.002710205502981319 0.0 7.24979972047503e-14 0.0
14217004 59304.02962962963 59304.049212962964 59304.0394212963 0.0 0.0 1683.165944635728 0.002376473937550871 0.0 6.35706778294858e-14 0.0
14217005 59306.02116898148 59306.036724537036 59306.02894675926 0.0 0.0 1336.046183427533 0.002993908481320818 0.0 8.008705187533188e-14 0.0
14217006 59396.22980324074 59397.834641203706 59397.032222222224 46.94832499999999 40.31141888888889 4078.09174797617 0.0434 0.0035 1.16095e-12 9.3625e-14
14217007 59404.79094907407 59404.80685185185 59404.79890046296 46.94683333333332 40.31104722222222 1366.013247462477 0.0145 0.0037 3.8787500000000005e-13 9.897500000000001e-14
14217008 59411.095821759256 59411.11172453704 59411.10377314815 46.94842083333333 40.31318861111111 1348.532354230874 0.0224 0.0044 5.992e-13 1.1770000000000002e-13
14217009 59418.07241898148 59418.53810185185 59418.305260416666 46.94817916666666 40.31059944444444 1141.279381946396 0.0453 0.007 1.211775e-12 1.8725e-13
14217010 59425.101956018516 59425.64365740741 59425.37280671296 46.94789583333333 40.311406388888884 1366.023384016263 0.0672 0.0078 1.7976e-12 2.0865e-13
14217011 59434.06429398148 59434.87490740741 59434.46960069444 46.94846666666666 40.31143472222222 1925.410404218949 0.11 0.0085 2.9425e-12 2.2737500000000003e-13
14217012 59441.89232638889 59442.90408564815 59442.39820601852 46.947762499999996 40.31057805555555 1653.208689567347 0.211 0.013 5.64425e-12 3.4775e-13
14217013 59448.06391203704 59448.54644675926 59448.30517939815 46.94764166666666 40.311814999999996 2065.25702416875 0.251 0.012 6.71425e-12 3.2100000000000005e-13
14217014 59456.88775462963 59456.906180555554 59456.89696759259 46.947716666666665 40.31102055555555 1583.275074955103 0.296 0.015 7.918e-12 4.0125e-13
14217015 59462.47488425926 59462.75407407407 59462.61447916667 46.947712499999994 40.31137194444444 1830.514488907907 0.327 0.015 8.747250000000001e-12 4.0125e-13
14217016 59469.84856481481 59470.84574074074 59470.34715277777 46.94996249999999 40.31144444444444 641.816641753418 0.255 0.022 6.821250000000001e-12 5.885e-13
14217017 59472.043229166666 59472.44712962963 59472.245179398145 46.94837083333333 40.310939166666664 1503.382739583602 0.174 0.011 4.6545e-12 2.9425e-13
14217018 59476.745787037034 59477.290185185186 59477.01798611111 46.94803749999999 40.31061111111111 1580.787633895899 0.263 0.014 7.03525e-12 3.745e-13
14217019 59481.18981481482 59482.20476851852 59481.69729166667 46.9493625 40.311771388888886 2045.308708477735 0.255 0.012 6.821250000000001e-12 3.2100000000000005e-13
14217020 59487.42726851852 59487.507581018515 59487.46742476852 46.94873333333333 40.3111725 1867.973187049494 0.349 0.014 9.33575e-12 3.745e-13
14217021 59492.52994212963 59492.54851851852 59492.53923032407 46.94938333333333 40.31186444444444 1595.761662415915 0.348 0.016 9.309e-12 4.2800000000000004e-13
14217022 59507.20099537037 59507.34645833333 59507.273726851854 46.94752499999999 40.31151027777778 1618.246959713736 0.365 0.017 9.76375e-12 4.547500000000001e-13
14217023 59514.441655092596 59514.58394675926 59514.51280092593 46.94853749999999 40.311725833333334 1480.897346908059 0.344 0.016 9.201999999999999e-12 4.2800000000000004e-13
14217024 59521.54927083333 59521.95892361111 59521.75409722222 46.94777499999999 40.31168916666666 2010.327399248257 0.273 0.012 7.302750000000001e-12 3.2100000000000005e-13
14217025 59528.70229166667 59528.717256944445 59528.70977430556 46.948366666666665 40.31057222222222 1286.101455261421 0.394 0.018 1.05395e-11 4.815e-13
14217026 59535.22138888889 59535.36450231481 59535.29294560185 46.94974166666666 40.310739999999996 1813.033341616869 0.187 0.011 5.0022500000000004e-12 2.9425e-13
14217027 59542.65074074074 59542.85962962963 59542.75518518519 46.94957916666666 40.31186694444444 1957.873999322176 0.348 0.015 9.309e-12 4.0125e-13
14217028 59549.47056712963 59549.61587962963 59549.54322337963 46.94929166666667 40.31098861111111 1967.863859161547 0.358 0.014 9.5765e-12 3.745e-13
14217029 59556.10702546296 59556.2596412037 59556.183333333334 46.94947499999999 40.311885277777776 2317.48115195314 0.347 0.013 9.282249999999999e-12 3.4775e-13
14217030 59563.208344907405 59563.288090277776 59563.24821759259 46.94887083333333 40.311343888888885 2010.327278943643 0.662 0.021 1.7708500000000003e-11 5.617500000000001e-13
14217031 59568.25638888889 59568.27144675926 59568.26391782408 46.94897916666666 40.3107525 1293.593153511424 0.682 0.026 1.82435e-11 6.955e-13
14217032 59573.63398148148 59573.77354166667 59573.70376157407 46.94979166666666 40.31175527777778 1395.99048899961 0.936 0.027 2.5038000000000004e-11 7.222500000000001e-13
14217033 59578.542280092595 59578.55824074074 59578.55026041667 46.949908333333326 40.31167083333333 1371.007811358478 1.25 0.031 3.34375e-11 8.2925e-13
14217034 59583.46056712963 59583.47699074074 59583.46877893519 46.94885833333333 40.31167138888889 1410.964154364083 1.24 0.031 3.317e-11 8.2925e-13
14217035 59588.161145833335 59588.17699074074 59588.16906828704 46.948791666666665 40.31058861111111 1361.018764896209 1.1 0.03 2.9425000000000004e-11 8.025e-13
14217036 59593.676400462966 59593.692974537036 59593.684687500005 46.94840416666666 40.311454999999995 1423.450222049182 1.2 0.03 3.21e-11 8.025e-13
14217041 59633.089537037034 59633.431875 59633.26070601852 46.95028333333333 40.3109675 2594.677072514407 0.0946 0.007 2.5305500000000004e-12 1.8725e-13
14217042 59640.188796296294 59640.992256944446 59640.59052662037 46.94953333333333 40.31130222222222 3888.279922309563 0.0943 0.0059 2.522525e-12 1.57825e-13
14217043 59647.677615740744 59647.889502314814 59647.78355902778 46.94994166666666 40.31124972222222 2766.997881129309 0.116 0.0076 3.1030000000000004e-12 2.033e-13
14217044 59654.122395833336 59654.66726851852 59654.39483217592 46.94994166666666 40.31122416666666 2956.790367044573 0.0172 0.003 4.601e-13 8.025000000000001e-14
14217045 59661.01064814815 59661.88811342593 59661.44938078704 46.94830416666666 40.31106666666666 3263.963575023118 0.0256 0.003 6.848000000000001e-13 8.025000000000001e-14
14217046 59668.45149305555 59668.53324074074 59668.49236689815 46.949549999999995 40.31127277777777 2354.939874274384 0.0342 0.0043 9.1485e-13 1.15025e-13
