mjd mjd_err count count_err exptime rate rate_err
59299.08383358076 0.03868772007263033 0.6400000095367432 2.371647103172257 2669.595084487379 0.0002397367350785474 0.0008883920700010073
59301.317597663 0.07268834537171642 0.0 1.8960140436542416 1475.902840549049 0.0 0.0012846469236070495
59304.04021175692 0.009779641364730196 0.0 1.8960140436542416 1683.16594475446 0.0 0.0011264569899142249
59306.02974142677 0.007762763310893206 -0.180000002682209 1.9122952572485057 1336.046183427533 -0.00013472588366700888 0.001431309247366469
59397.033011193256 0.8024069978491752 95.7400015250276 9.860365183256786 4078.091748451105 0.02347666688994687 0.002417887039202058
59404.799691562934 0.007936883957881946 15.640000233054161 4.028518199434373 1366.01324758121 0.011449376688511476 0.002949106245175617
59411.10466554933 0.007835312844690634 15.82000023573637 4.021793453391761 1348.532354349607 0.011731272286282153 0.0029823485068190742
59418.30605389291 0.23282484634546563 22.640000375287677 4.819643039210216 1141.279382302602 0.019837386643759454 0.004223017706222193
59425.37359930627 0.27083148877500207 62.82000093609095 7.948259135313808 1366.023384253731 0.04598750040462155 0.005818538120894617
59434.4703951436 0.4052890618550009 141.64000218548452 11.92597840160732 1925.410404456416 0.07356353838000189 0.006193992913928538
59442.39899377886 0.5058645954850363 234.02000393420457 15.373887080664398 1653.208689923548 0.1415550289328728 0.00929942310028346
59448.305972798815 0.24125334576820023 320.48000589311124 17.984815982862358 2065.257024406216 0.15517681436539493 0.008708270094388465
59456.89775484233 0.009199237432767404 293.84000552641317 17.215946258175684 1583.275075073836 0.18558999011129507 0.010873629307511722
59462.61527023846 0.1395827187479881 329.5600064009428 18.200527641424653 1830.514489145373 0.18003681935061172 0.00994284817156628
59470.34794765749 0.4985731206506898 96.46000195890664 9.85379124846887 641.8166419908896 0.15029214833023272 0.015352969374403884
59472.245971150434 0.20193702932738233 146.84000256061555 12.222471214881041 1503.382739939806 0.09767306665134048 0.008129979738473262
59477.018880054995 0.27208720023190835 220.20000417530537 14.910533330734868 1580.787634133367 0.1392976510067561 0.009432344363516766
59481.69800945664 0.5073869033549272 278.76000528773756 16.8102113413565 2045.30870907141 0.1362923865973745 0.008218911534869715
59487.468220666124 0.04014212349648005 332.1200059920549 18.31716151707723 1867.973187286961 0.17779698780067882 0.009805901734425334
59492.54002146108 0.009271786737372167 256.20000443073457 16.07246105804536 1595.761662534648 0.16055029422363493 0.010071968411947223
59507.27451971613 0.07271206400400843 272.9200048471397 16.558816529756278 1618.246959832469 0.16865164070840835 0.010232564584252672
59514.51359303025 0.07113083367949002 212.84000357576198 14.676130403268502 1480.897347145527 0.1437236713172708 0.009910295559349318
59521.754893775316 0.20481260745873442 222.66000360150767 15.014033556358775 2010.327399485725 0.11075808032983472 0.0074684519348438535
59528.71056690576 0.007472566830983851 194.8400035307257 14.049512574061271 1286.101455380154 0.15149660449854144 0.01092410907031314
59535.29373464696 0.07154285525757587 115.38000179380178 10.8301247371527 1813.033341854336 0.06363920570583292 0.005973483491525784
59542.75593448835 0.10438403530133655 232.38000422759063 15.306586956473208 1957.873999797109 0.11868996894165393 0.007817963238727008
59549.544014056795 0.07264362875139341 241.9400045734179 15.670060772926918 1967.863859399013 0.12294549921116318 0.007962980110683351
59556.18412384858 0.07629509206162766 248.76000467538833 15.89286647311801 2317.481152190607 0.10734068082506175 0.006857819084351656
59563.24901272723 0.03986053483458818 387.2200075200434 19.79091730006008 2010.327279181111 0.19261540721756212 0.009844624556913805
59568.26470776532 0.007516096062317956 286.5600055366755 16.97819794801543 1293.593153630157 0.22152251249360277 0.013124835965906448
59573.70455050448 0.06976642504741903 362.66000734953167 19.115993497348672 1395.990489237078 0.259786875444781 0.013693498376049641
59578.55105088164 0.007965901040734025 422.22000798133996 20.65624380297166 1371.007811477211 0.3079632402140826 0.015066466893952492
59583.46957179622 0.00819805845094379 483.42000988572835 22.13604323233589 1410.964154482816 0.3426167903343542 0.015688593620190004
59588.16985674807 0.007907861690910067 387.78000779002906 19.84791192750044 1361.018765014942 0.28491892820138437 0.014583128783887518
59593.685476014856 0.008270607639133232 482.6000103240613 22.112711512137345 1423.450222167915 0.3390353963969751 0.015534587137483236
59633.26149734187 0.17114996405143756 103.92000154852867 10.256432204598182 2594.67707263314 0.04005122743196254 0.00395287425659861
59640.59132308701 0.4017168700665934 183.12000272870063 13.657174040750185 3888.279922665763 0.04709537542841193 0.0035123947638489392
59647.784347720575 0.105926592292235 158.2000024318695 12.661911485376905 2766.997881366776 0.0571738791334837 0.004576046686064854
59654.39562260344 0.2724260138202226 23.120000344514846 5.149601964730376 2956.790367400773 0.007819289659293282 0.001741618892399612
59661.450177372884 0.43871745363867376 49.740000741183756 7.157290043259306 3263.963575498052 0.015239140876011116 0.0021928216653481396
59668.49315982277 0.040863494723453186 44.100000639931864 6.720267900594209 2354.939874393117 0.018726593030871635 0.002853689800605234
