obsid mjd exptime isdet rate_upp cnt_src_a cnt_src_s cnt_src_h cnt_bkg_a cnt_bkg_s cnt_bkg_h phase cnt_net_s cnt_net_h cnt_net_a cnt_net_h_unc cnt_net_s_unc cnt_net_a_unc HR HR_unc rate_net_a rate_net_a_unc
4202080101 59299.10732638889 343.0 False 0.1282798833819242 32.488304904865316 12.01068376068376 20.47762114418155 27.794900816344704 12.741239425463553 15.053661390881151 -21.505573291856372 -0.7305556647797928 5.4239597533004 4.693404088520612 5.960812237863452 4.9751304692588025 7.7642260220327195 1.3113116411888024 -0.5149980483018025 0.013683393844083418 0.02263622746948315
4202080103 59397.76851851852 941.0 True 0.057385759829968117 136.54960238208727 106.21428571428572 30.33531666780157 35.14087620795267 23.47182353337606 11.669052674576616 75.41111838754249 82.74246218090965 18.666263993224955 101.4087261741346 6.481077791724011 11.387980911806174 13.103071341866379 -0.6318607934947912 0.21085353503445087 0.10776697786836834 0.013924624167764483
4202080104 59398.02643518519 1560.0 True 0.06538461538461539 147.69592320454794 113.50476190476189 34.19116129978604 75.0952051847938 47.416169647943406 27.67903553685039 75.66447464163795 66.08859225681849 6.51212576293565 72.60071801975414 7.865761046245711 12.685461424508976 14.926189345889384 -0.8206043702993749 0.3743032616791495 0.0465389218075347 0.009568070093518836
4202080106 59402.35254629629 240.0 True 0.19166666666666668 101.85869483926594 40.23412698412698 61.62456785513897 29.077477684323572 12.12459019536064 16.952887488962936 79.91409262897194 28.10953678876634 44.671680366176034 72.78121715494237 8.864392553587747 7.235932364214554 11.44273448628384 0.22756068426488255 0.1214436683286974 0.30325507147892655 0.047678060359516
4202080108 59531.783055555556 1243.0 True 0.07079646017699115 1760.0392340173873 1208.8000000000002 551.2392340173874 63.55798882431251 34.02598266601562 29.532006158296895 207.05604671469118 1174.7740173339846 521.7072278590905 1696.4812451930748 24.09919584085088 35.25373714467752 42.703597305633394 -0.38495373369162655 0.034861868763995496 1.364828033140044 0.03435526734161978
4202080109 59532.4943287037 1389.0 True 0.06695464362850972 1922.3852167775387 1302.0 620.3852167775385 67.27397734103228 35.153735923767094 32.120241417265184 207.75474332387248 1266.846264076233 588.2649753602733 1855.1112394365064 25.5441863874112 36.56711276439209 44.60559599555387 -0.3657900800181018 0.032840014781284906 1.3355732465345618 0.03211346003999559
4202080110 59533.655648148146 1486.0 True 0.0908479138627187 2116.779465202434 1409.8000000000002 706.9794652024344 103.03177423610924 52.31342029571533 50.71835394039392 208.89552863275608 1357.4865797042848 656.2611112620405 2013.7476909663249 27.52631139733089 38.237591716734926 47.114872805076565 -0.3482191297290831 0.03154375947667766 1.3551464945937584 0.031705836342581804
4202080111 59534.172314814816 1274.0 True 0.18838304552590268 2272.1154449051123 1459.3999999999996 812.7154449051121 197.63589945054113 75.33062705993653 122.30527239060461 209.40305973950467 1384.0693729400632 690.4101725145075 2074.479545454571 30.578108464974036 39.17563818318645 49.69659288478088 -0.3343774596117107 0.031966578561959384 1.628319894391343 0.03900831466623303
4202080112 59535.011516203704 6844.0 True 0.19666861484511983 12184.570995670996 7477.400000000001 4389.770995670995 1239.8340912062026 479.78135986328124 740.0739715772962 210.2274225969584 6997.6186401367195 3649.697024093699 10944.736904464793 71.62293604180361 89.203034476767 115.86373499450637 -0.31443809140461004 0.014122789768035927 1.599172545947515 0.01692924240130134
4202080113 59536.10949074074 1190.0 True 0.1815126050420168 1766.1162550598933 1176.8 589.3162550598935 175.95898381338844 81.14185104370117 94.81713276968725 211.30598304591226 1095.6581489562989 494.49912229020623 1590.157271246505 26.15594364249894 35.46747596099419 44.068982730184295 -0.37805004419144733 0.038190727858759314 1.3362666144928612 0.03703275859679352
4202080114 59537.014340277776 8836.0 True 0.13705296514259846 14189.494444444445 9251.3 4540.594444444444 1110.0271488838553 495.3334426879884 594.8371861153007 212.19483327875813 8755.966557312011 3945.757258329143 13079.46729556059 71.66192594788215 98.72503959324598 123.69123490906014 -0.3787052347225091 0.01324159677468465 1.4802475436351956 0.01399855533149164
4202080115 59538.04746527778 8005.0 True 0.1693941286695815 12883.243745143745 8183.65 4336.593745143746 1249.7543002912055 552.401587677002 675.0548412152779 213.2096908426105 7631.248412322998 3661.538903928468 11633.48944485254 70.79299814500742 93.46684753257169 118.88228650827234 -0.35152610221231345 0.014032605460483946 1.453277881930361 0.014851003936073998
4202080116 59539.01597222222 8733.0 True 0.20416809801900837 17428.130808080805 11061.05 6367.080808080808 1659.7574767335668 695.996208190918 963.761268542649 214.16107290984613 10365.053791809081 5403.319539538159 15768.373331347238 85.6203368168069 108.42991380698832 138.15892401439137 -0.3146636718961419 0.011518786023977358 1.8056078474003479 0.015820327953096458
4202080117 59540.049363425926 2001.0 True 0.1969015492253873 3739.5973026973033 2342.4500000000003 1397.1473026973028 338.5262279364123 127.8658109664917 210.66041696992062 215.17619197045732 2214.5841890335087 1186.4868857273823 3401.071074760891 40.09747772201168 49.702271688188375 63.86018736766841 -0.3022863329542167 0.024452370268285815 1.6996856945331789 0.03191413661552644
4202080118 59541.01782407407 7626.0 True 0.1742722265932337 12339.113311688312 7784.099999999999 4220.013311688312 1223.5087505289657 509.45594711303715 692.8761295267685 216.12752855999167 7274.6440528869625 3527.137182161543 11115.604561159347 70.09200697094556 91.06896258941921 116.45867104778964 -0.34693415735600125 0.014329926371732762 1.4575930449986032 0.015271265545212383
